"configuration","problem","model","data_file","status","time","objectiveBound","peakDepth","eliminatedLinearConstraints","flatIntVars","propagations","intVars","method","flatBoolConstraints","nodes","objective","restarts","evaluatedReifiedConstraints","flatTime","optTime","initTime","flatIntConstraints","randomSeed","nSolutions","failures","paths","solver_objective","variables","run","propagators","eliminatedImplications","baseMem","trailMem","openNodes","evaluatedHalfReifiedConstraints","solveTime","peakMem","boolVariables","flatBoolVars","nogoods","backjumps"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-03.dzn","SATISFIED","302.8759151659906","","","","2605","","","minimize","19098","","4925","","24492","2.023699","","","25998","","3","","0","","","makespan_reverse-cp2025","","1452","","","","831","","","","28403","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-04.dzn","OPTIMAL_SOLUTION","0.7067316989414394","","60","","323","6055","327","minimize","899","61","1342","1","656","0.300586","0.008","0.085","997","1589033237","1","1","0","1342","3147","makespan_reverse-cp2025","1397","121","0.0","0.63","","74","0.009","0.0","2818","1073","1","0"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-06.dzn","OPTIMAL_SOLUTION","0.45209935400635004","","1","","17","52","19","minimize","","1","279","1","","0.180994","0.001","0.01","36","1556519183","1","0","0","279","8840","makespan_reverse-cp2025","31","","0.0","0.04","","","0.001","0.0","8819","14","0","0"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-03.dzn","OPTIMAL_SOLUTION","2.5821574970614165","","324","","1426","63421","1435","minimize","7434","330","3244","1","8016","0.964866","0.024","0.805","9026","-721121026","1","6","0","3244","16993","makespan_reverse-cp2025","15609","726","0.0","10.68","","424","0.024","0.0","15556","10084","6","0"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","OPTIMAL_SOLUTION","37.185159425018355","4426","","3660","34683","","","minimize","","112","4426","","5630","9.39106","","","56971","","2","","0","4426","","makespan_reverse-cp2025","","","","","40","30084","36.0097","","","4850","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-02.dzn","SATISFIED","304.41586070810445","","","","5141","","","minimize","58976","","7699","","89402","6.19406","","","91953","","1","","0","","","makespan_reverse-cp2025","","3025","","","","1716","","","","97311","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-01.dzn","OPTIMAL_SOLUTION","0.4469236130826175","","1","","17","52","19","minimize","","1","350","1","","0.179484","0.001","0.011","36","739515921","1","0","0","350","10828","makespan_reverse-cp2025","31","","0.0","0.05","","","0.001","0.0","10807","14","0","0"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t020-02.dzn","UNKNOWN","302.54459957801737","","","","2194","","","minimize","14455","","","","17490","1.5739","","","18791","","0","","0","","","makespan_reverse-cp2025","","1210","","","","695","","","","20771","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-01.dzn","OPTIMAL_SOLUTION","1.3650933071039617","","157","","759","449934","763","minimize","3144","896","2196","1","2862","0.526557","0.046","0.332","3458","-1618513380","1","109","0","2196","11780","makespan_reverse-cp2025","5637","363","0.0","0.42","","210","0.046","0.0","11015","3925","109","696"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","OPTIMAL_SOLUTION","0.7874352838844061","","108","","466","5772","469","minimize","1733","108","1123","1","1182","0.33404","0.01","0.113","1494","445388567","1","0","0","1123","44571","makespan_reverse-cp2025","2260","242","0.0","2.11","","136","0.01","0.0","44100","1852","0","0"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-04.dzn","OPTIMAL_SOLUTION","3.6926744400989264","3097","","","1393","","","minimize","7426","2326","3097","","8424","0.888782","","0.49","8956","","1","1120","0","3097","1555","makespan_reverse-cp2025","6759","726","","","","","1.41","205.0","","10054","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-02.dzn","OPTIMAL_SOLUTION","11.864021861925721","4089","","","2418","3007965","","minimize","6655","","4089","","2079","0.941954","","","4917","","1","2246","0","4089","","makespan_reverse-cp2025","","2662","","","","2079","4.42846","","1279","5690","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-05.dzn","OPTIMAL_SOLUTION","0.960440618917346","","111","","542","116413","548","minimize","1895","272","1580","2","1506","0.412378","0.023","0.164","1981","-1184526901","1","102","0","1580","8787","makespan_reverse-cp2025","2990","242","0.0","0.94","","148","0.023","0.0","8237","2258","102","77"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-06.dzn","OPTIMAL_SOLUTION","1.4425308641511947","2477","","","430","51723","","minimize","605","","2477","","189","0.299837","","","915","","2","446","0","2477","","makespan_reverse-cp2025","","242","","","","189","0.185782","","289","692","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-02.dzn","OPTIMAL_SOLUTION","1.2697020180057734","1106","","","491","3196","","minimize","1210","","1106","","378","0.317664","","","1031","","1","0","0","1106","","makespan_reverse-cp2025","","484","","","","378","0.222812","","30","1082","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","OPTIMAL_SOLUTION","63.087802805006504","","415","","1826","386970246","1837","minimize","11151","157724","3516","1","13166","1.29654","59.527","1.167","14359","31665422","1","92465","0","3516","67006","makespan_reverse-cp2025","25651","968","0.0","7.12","","559","59.546","0.0","65167","15853","92465","64845"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-02.dzn","OPTIMAL_SOLUTION","0.8738215889316052","1106","","","489","","","minimize","1807","157","1106","","1478","0.336326","","0.06","1702","","1","78","0","1106","564","makespan_reverse-cp2025","1655","242","","","","","0.1","26.0","","2046","",""
