"configuration","problem","model","data_file","status","time","failures","paths","run","intVars","method","randomSeed","backjumps","solveTime","nogoods","flatTime","error","openNodes","evaluatedReifiedConstraints","eliminatedImplications","flatIntVars","nodes","flatIntConstraints","propagators","restarts","trailMem","baseMem","eliminatedLinearConstraints","flatBoolConstraints","flatBoolVars","initTime","evaluatedHalfReifiedConstraints","nSolutions","boolVariables","peakDepth","propagations","peakMem","variables"
"chuffed_fixed_priorityrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-05.dzn","SATISFIED","0.7802889496088028","4","0","sat_appear-cp2025","418","satisfy","-2072779388","0","0.01","4","0.306651","","","636","146","414","61","1081","1482","0","1.41","0.0","","953","1095","0.084","112","1","12177","56","7537","0.0","12597"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-06.dzn","SATISFIED","4.58210726082325","3","0","sat_appear-cp2025","4410","satisfy","112327901","0","0.07","3","1.98916","","","14661","1764","4395","474","18847","31221","0","1.41","0.0","","14229","18400","1.344","1899","1","47603","470","103290","0.0","52015"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-06.dzn","ERROR","0.21253403276205063","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-03.dzn","ERROR","0.21229082345962524","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-01.dzn","ERROR","0.2378370426595211","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-04.dzn","ERROR","0.20314022153615952","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-02.dzn","SATISFIED","5.116162195801735","9","0","sat_appear-cp2025","4871","satisfy","-323076574","0","0.077","9","2.12853","","","16238","1960","4854","529","20835","34530","0","3.16","0.0","","15784","20360","1.606","2110","1","42870","519","125223","0.0","47743"
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-02.dzn","SATISFIED","1.4219007268548012","1","0","sat_appear-cp2025","1543","satisfy","-1220183162","0","0.019","1","0.640262","","","2667","588","1535","161","4191","6102","0","0.42","0.0","","3633","3988","0.238","633","1","19541","159","19847","0.0","21086"
"cpotimizer_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-05.dzn","UNKNOWN","300.98238571733236","460349","0","sat_appear-cp2025","","satisfy","","","299.21","","0.776782","","","6306","630","1392","929399","6868","5681","","","","","6008","7687","0.24","","0","","","","113.0","1492"
"gurobi_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-04.dzn","SATISFIED","5.34752544015646","","0","sat_appear-cp2025","","satisfy","","","4.6897","","3.69742","","","3438","","15038","1","25863","","","","","2440","","3162","","11947","1","","","","",""
"cpsat_fixed_standard_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-05.dzn","ERROR","0.21431400254368782","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","SATISFIED","4.498410977423191","1","0","sat_appear-cp2025","4410","satisfy","-1004499332","0","0.065","1","1.99281","","","14575","1764","4395","474","18761","31049","0","7.12","0.0","","14186","18314","1.275","1899","1","46043","472","91354","0.0","50455"
"chuffed_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-03.dzn","SATISFIED","1.0184455253183842","0","0","sat_appear-cp2025","668","satisfy","-2126772528","0","0.013","0","0.404781","","","1318","282","667","112","1915","2781","0","0.94","0.0","","1902","2102","0.173","202","1","12406","111","8120","0.0","13076"
"chuffed_fixed_fixedorderrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t050-01.dzn","SATISFIED","37.89753311872482","29","0","sat_appear-cp2025","12311","satisfy","1313113682","0","0.836","29","13.0766","","","192662","6240","12266","2067","201303","384894","0","36.04","0.0","","122671","206278","14.81","4920","1","255588","2037","1416977","0.0","267901"
"chuffed_free_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-05.dzn","SATISFIED","1.0843068212270737","3","0","sat_appear-cp2025","635","satisfy","1408178698","0","0.015","3","0.403529","","","1500","272","628","118","2067","3109","0","0.94","0.0","","1966","2274","0.179","180","1","10324","114","12395","0.0","10961"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-05.dzn","SATISFIED","4.345210924744606","55","0","sat_appear-cp2025","4413","satisfy","236266239","0","0.094","55","1.8614","","","13643","1764","4395","521","17829","29185","0","16.02","0.0","","13720","17382","1.224","1899","1","49986","465","250413","0.0","54401"
"chuffed_fixed_standardrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-04.dzn","SATISFIED","5.103532567620277","5","0","sat_appear-cp2025","1707","satisfy","-1114205672","14","0.039","5","1.04732","","","11210","968","1697","437","12125","21703","0","2.11","0.0","","10173","13786","0.995","544","1","26494","417","118926","0.0","28203"
"chuffed_free_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-03.dzn","SATISFIED","0.9632547125220299","0","0","sat_appear-cp2025","582","satisfy","-380416726","0","0.013","0","0.357538","","","1333","262","577","112","1819","2707","0","1.41","0.0","","1859","2071","0.168","169","1","17162","111","7792","0.0","17746"
"chuffed_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-04.dzn","SATISFIED","1.570550736039877","8","0","sat_appear-cp2025","1185","satisfy","1393388354","0","0.023","8","0.640243","","","3758","564","1181","216","4659","7537","0","2.11","0.0","","4365","5188","0.353","404","1","13706","207","35468","0.0","14893"
"cpsat_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-05.dzn","ERROR","0.2195473574101925","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_standardrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-01.dzn","SATISFIED","1.2091455422341824","0","0","sat_appear-cp2025","925","satisfy","253596449","0","0.016","0","0.500573","","","2435","423","922","161","3179","4949","0","0.63","0.0","","3082","3540","0.224","303","1","9884","160","13694","0.0","10811"
"chuffed_free_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-04.dzn","SATISFIED","3.643854897469282","2","0","sat_appear-cp2025","2537","satisfy","-1322037089","0","0.053","2","1.42252","","","13209","1269","2524","473","14988","26230","0","24.03","0.0","","12198","16312","1.129","909","1","27348","470","81819","0.0","29887"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t002-04.dzn","ERROR","0.2593511492013931","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-03.dzn","ERROR","0.21353935077786446","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
