"configuration","problem","model","data_file","status","time","method","solver_objective","boolVariables","flatBoolConstraints","optTime","variables","evaluatedReifiedConstraints","run","initTime","trailMem","paths","restarts","peakMem","objective","intVars","flatBoolVars","eliminatedLinearConstraints","nodes","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","peakDepth","solveTime","backjumps","openNodes","nogoods","propagators","objectiveBound","baseMem","eliminatedImplications","flatTime","flatIntVars","propagations","failures","randomSeed"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-03.dzn","SATISFIED","301.4642813669052","minimize","3919","1318","4235","","","1323","makespan_reverse-cp2025_big","","","0","","","3919","","4324","","","5062","2","1323","","15.7418","","","","","2613","","1694","1.033239","2436","7901082","19105",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","OPTIMAL_SOLUTION","1.7702068570069969","minimize","1442","52332","3049","0.216","53275","3814","makespan_reverse-cp2025_big","0.362","3.16","0","3","0.0","1442","941","4862","","2198","5104","3","148","140","0.217","986","","825","8303","","0.0","242","0.673844","922","1876938","825","-1163684542"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-02.dzn","SATISFIED","302.11853988002986","minimize","","","8172","","","11776","makespan_reverse-cp2025_big","","","0","","","2805","","13708","","","14006","1","280","","","","","","","","","484","1.3558","1676","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-04.dzn","UNKNOWN","302.15788856102154","minimize","","","8328","","","12088","makespan_reverse-cp2025_big","","","0","","","","","14020","","","14318","0","280","","","","","","","","","484","1.29869","1676","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-05.dzn","SATISFIED","302.44765572203323","minimize","","","11517","","","17324","makespan_reverse-cp2025_big","","","0","","","3066","","19705","","","20006","8","352","","","","","","","","","605","1.65334","2045","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-01.dzn","OPTIMAL_SOLUTION","179.25117773981765","minimize","8024","3856","18150","","","5670","makespan_reverse-cp2025_big","","","0","","","8024","","15186","","","12493","1","5670","","135.867","","","","","8024","","7260","2.36684","6186","64850077","38243",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-02.dzn","OPTIMAL_SOLUTION","1.1371073070913553","minimize","1480","6034","3136","0.013","6727","2846","makespan_reverse-cp2025_big","0.225","1.41","0","1","0.0","1480","691","3856","","163","3288","1","211","161","0.013","2","","1","5485","","0.0","363","0.498084","684","15439","1","-857940014"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-02.dzn","OPTIMAL_SOLUTION","1.6847336739301682","minimize","1523","67784","2605","0.039","68606","2926","makespan_reverse-cp2025_big","0.364","2.11","0","3","0.0","1523","820","3889","","1035","3961","1","149","133","0.228","537","","308","6302","","0.0","242","0.591567","802","1286089","308","396912257"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-05.dzn","OPTIMAL_SOLUTION","73.08181281201541","minimize","3724","","","","","4935","makespan_reverse-cp2025_big","","","0","","","3724","","3220","1525","724","38806","11","23590","","71.9239","","","","","3724","","","7.83079","25395","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t020-01.dzn","SATISFIED","303.6939913521055","minimize","","","23276","","","35132","makespan_reverse-cp2025_big","","","0","","","5555","","38979","","","37994","1","697","","","","","","","","","1210","2.79442","2922","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-02.dzn","OPTIMAL_SOLUTION","0.5441155610606074","minimize","607","64438","3","0.003","64494","6","makespan_reverse-cp2025_big","0.058","0.05","0","1","0.0","607","54","46","","4","113","1","","4","0.003","0","","0","104","","0.0","","0.197948","52","325","0","-1337381824"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","SATISFIED","303.2129764589481","minimize","","","19289","","","29442","makespan_reverse-cp2025_big","","","0","","","4574","","32734","","","32309","1","560","","","","","","","","","968","2.51384","2608","","",""
