configuration,problem,model,data_file,status,time,trailMem,nogoods,eliminatedLinearConstraints,flatBoolConstraints,backjumps,flatBoolVars,flatIntVars,objectiveBound,initTime,propagations,flatIntConstraints,method,peakDepth,failures,run,baseMem,boolVariables,eliminatedImplications,nSolutions,flatTime,openNodes,paths,intVars,peakMem,evaluatedHalfReifiedConstraints,randomSeed,solver_objective,solveTime,propagators,restarts,evaluatedReifiedConstraints,variables,nodes
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t020-03.dzn,SATISFIED,7.717498504091054,2.11,9518.0,,14068.0,329.0,19917,2086,,1.853,24355739.0,17789,satisfy,499.0,9518.0,results_sat_all,0.0,60287.0,1210.0,1,1.63944,,0,2095.0,0.0,695.0,855541044.0,,2.613,32249.0,0.0,16716.0,62384.0,10347.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t021-01.dzn,SATISFIED,5.58809207205195,4.75,168.0,,15659.0,0.0,22262,2278,,1.943,693450.0,19903,satisfy,556.0,168.0,results_sat_all,0.0,31629.0,1331.0,1,1.80416,,0,2288.0,0.0,763.0,466667777.0,,0.133,36186.0,0.0,18756.0,33919.0,725.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t021-02.dzn,SATISFIED,5.300384653033689,16.02,445.0,,15588.0,1288.0,22120,2278,,1.542,3448524.0,19761,satisfy,559.0,445.0,results_sat_all,0.0,38314.0,1331.0,1,1.78849,,0,2288.0,0.0,763.0,-375557863.0,,0.402,35902.0,0.0,18614.0,40604.0,2293.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t021-03.dzn,SATISFIED,7.493632928002626,1.41,8407.0,,15521.0,410.0,21986,2278,,1.562,26953071.0,19627,satisfy,551.0,8407.0,results_sat_all,0.0,72381.0,1331.0,1,1.82342,,0,2288.0,0.0,763.0,-1264427363.0,,2.659,35634.0,0.0,18480.0,74671.0,9369.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t022-01.dzn,SATISFIED,10.892059178091586,4.75,10593.0,,19532.0,1179.0,29171,2470,,2.124,49253077.0,26581,satisfy,601.0,10593.0,results_sat_all,0.0,86219.0,1452.0,1,2.18282,,0,2481.0,0.0,831.0,-736888090.0,,4.671,49251.0,0.0,25360.0,88702.0,12374.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t022-02.dzn,SATISFIED,9.235528577002697,0.94,8024.0,,18409.0,514.0,26925,2470,,2.286,36297277.0,24335,satisfy,594.0,8024.0,results_sat_all,0.0,87739.0,1452.0,1,1.92088,,0,2481.0,0.0,831.0,-993175725.0,,3.294,44759.0,0.0,23114.0,90222.0,9133.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t022-03.dzn,SATISFIED,7.480139655992389,0.94,3872.0,,17700.0,1454.0,25507,2470,,2.293,15256608.0,22917,satisfy,595.0,3872.0,results_sat_all,0.0,51999.0,1452.0,1,1.94197,,0,2481.0,0.0,831.0,1785821665.0,,1.489,41923.0,0.0,21696.0,54482.0,5922.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t025-01.dzn,SATISFIED,8.610956976073794,10.68,842.0,,24250.0,392.0,36096,3046,,3.241,4472232.0,32813,satisfy,764.0,842.0,results_sat_all,0.0,52644.0,1815.0,1,2.58869,,0,3060.0,0.0,1035.0,1089180503.0,,0.472,60842.0,0.0,31370.0,55706.0,1999.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t025-02.dzn,SATISFIED,9.009597355965523,16.02,450.0,,24267.0,636.0,36130,3046,,3.414,2902623.0,32847,satisfy,769.0,450.0,results_sat_all,0.0,56468.0,1815.0,1,2.62804,,0,3060.0,0.0,1035.0,855993986.0,,0.558,60910.0,0.0,31404.0,59530.0,1856.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t025-03.dzn,SATISFIED,9.055896212928928,24.03,2509.0,,24964.0,600.0,37524,3046,,2.932,11631901.0,34241,satisfy,755.0,2509.0,results_sat_all,0.0,70076.0,1815.0,1,2.6013,,0,3060.0,0.0,1035.0,-1406847327.0,,1.356,63698.0,0.0,32798.0,73138.0,3865.0
