"configuration","problem","model","data_file","status","time","paths","randomSeed","nSolutions","flatIntConstraints","propagations","failures","baseMem","evaluatedReifiedConstraints","solveTime","openNodes","eliminatedImplications","intVars","initTime","optTime","eliminatedLinearConstraints","trailMem","variables","restarts","peakMem","flatBoolVars","solver_objective","run","flatTime","boolVariables","objectiveBound","peakDepth","propagators","nodes","flatBoolConstraints","flatIntVars","backjumps","evaluatedHalfReifiedConstraints","objective","nogoods","method"
"cpotimizer_free_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-05.dzn","UNKNOWN","300.71438278106507","0","","0","4917","","313816","","4465","299.33","","524","","0.25","","","","1203","","81.0","5541","","endtimes_appear-cp2025","0.66415","","12189","","4322","631372","4619","1212","","","","","minimize"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-04.dzn","OPTIMAL_SOLUTION","2.025712260045111","0","","1","1863","61299","45","","612","0.457323","","861","","","","","","","","","1769","9815","endtimes_appear-cp2025","0.479931","317","9815","","","","2085","963","","762","9815","","minimize"
"chuffed_free_priority_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-02.dzn","OPTIMAL_SOLUTION","1.2412095440085977","0","1750460157","2","2406","56921","16","0.0","1582","0.046","","312","825","0.245","0.022","","0.94","26369","2","0.0","2480","18966","endtimes_appear-cp2025","0.535352","25542","","116","3462","269","2108","821","25","258","18966","16","minimize"
"chuffed_fixed_fixedorderrestart_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t040-02.dzn","SATISFIED","307.58768485300243","0","","1","119033","","","","114082","","","4230","","","","","","","","","123977","","endtimes_appear-cp2025","7.6481","","","","","","75686","7916","","3039","169605","","minimize"
"chuffed_free_priority_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-01.dzn","OPTIMAL_SOLUTION","0.6255396699998528","0","1592475932","1","755","2518","0","0.0","516","0.007","","136","297","0.048","0.007","","0.63","6952","1","0.0","882","1779","endtimes_appear-cp2025","0.274273","6653","","55","1045","55","866","293","0","93","1779","0","minimize"
"cpsat_fixed_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-03.dzn","SATISFIED","301.05154525197577","0","","1","4547","298959","708","","1773","1.3965","","2403","","","","","","","","","4876","46011","endtimes_appear-cp2025","0.931662","945","45484","","","","5913","2349","","2043","46011","","minimize"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-05.dzn","OPTIMAL_SOLUTION","5.590936089982279","0","","4","3051","261978","283","","1323","1.04061","","1694","","","","","","","","","3594","41503","endtimes_appear-cp2025","0.665741","179","41503","","","","4235","1500","","1323","41503","","minimize"
"cpsat_fixed_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-06.dzn","OPTIMAL_SOLUTION","0.8216219230089337","0","","1","653","8669","1","","196","0.103621","","262","","","","","","","","","593","3891","endtimes_appear-cp2025","0.248888","94","3891","","","","643","309","","216","3891","","minimize"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-01.dzn","OPTIMAL_SOLUTION","1.6300089180003852","0","-501967145","1","4125","726783","125","0.0","2555","0.159","","588","1569","0.306","0.025","","0.63","56355","2","0.0","3909","14274","endtimes_appear-cp2025","0.706651","54784","","154","5910","792","3577","1562","513","636","14274","125","minimize"
"chuffed_fixed_standardrestart_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-02.dzn","OPTIMAL_SOLUTION","1.4322133869864047","0","-1798232777","2","4002","196320","91","0.0","3462","0.051","","484","895","0.337","0.036","","2.11","11908","2","0.0","4781","13873","endtimes_appear-cp2025","0.567049","11011","","208","6616","742","4015","891","235","275","13873","91","minimize"
